Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
198;17900156739;"Journal of Eastern African Studies";journal;"17531055, 17531063";0,816;Q1;29;35;122;1836;243;120;1,96;52,46;United Kingdom;Western Europe;"Routledge";"2009-2021";"Anthropology (Q1); Cultural Studies (Q1); History (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
199;5700181569;"Journal of Gambling Studies";journal;"10505350, 15733602";0,809;Q1;85;127;250;6388;828;250;3,37;50,30;United States;Northern America;"Springer International Publishing AG";"1990-2021";"Sociology and Political Science (Q1); Psychology (miscellaneous) (Q2)"
200;21100887531;"Administrative Theory and Praxis";journal;"19490461, 10841806";0,806;Q1;9;38;94;2161;242;89;3,25;56,87;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2021";"Business and International Management (Q1); Public Administration (Q1); Sociology and Political Science (Q1); Strategy and Management (Q2)"
201;5700162683;"Globalizations";journal;"1474774X, 14747731";0,804;Q1;44;154;257;9148;674;253;2,53;59,40;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004-2021";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geography, Planning and Development (Q1); Public Administration (Q1); Sociology and Political Science (Q1); Management, Monitoring, Policy and Law (Q2)"
202;24482;"Children and Youth Services Review";journal;"01907409";0,803;Q1;97;489;1929;29150;5504;1897;2,63;59,61;United Kingdom;Western Europe;"Elsevier Ltd.";"1979-2021";"Education (Q1); Social Work (Q1); Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2)"
203;28894;"Journal of Leisure Research";journal;"00222216";0,799;Q1;73;43;84;2731;280;76;3,28;63,51;United States;Northern America;"National Recreation and Park Association";"1978-1989, 1991, 1996-2016, 2018-2021";"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q2)"
204;22197;"PS - Political Science and Politics";journal;"10490965, 15375935";0,798;Q1;65;172;424;3223;590;398;1,07;18,74;United Kingdom;Western Europe;"Cambridge University Press";"1968-2021";"Sociology and Political Science (Q1)"
205;15300154806;"Dementia";journal;"17412684, 14713012";0,795;Q1;54;178;456;8311;1440;436;3,04;46,69;United Kingdom;Western Europe;"SAGE Publications Ltd";"2002-2021";"History (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Medicine (miscellaneous) (Q2)"
206;28122;"Perspectives on Sexual and Reproductive Health";journal;"15386341";0,795;Q1;97;2;75;68;223;67;3,29;34,00;United States;Northern America;"Wiley-Blackwell";"1996-2021";"Sociology and Political Science (Q1); Obstetrics and Gynecology (Q2); Public Health, Environmental and Occupational Health (Q2)"
207;15371;"Journal of Adolescent Research";journal;"07435584, 15526895";0,787;Q1;85;81;94;5077;296;92;3,03;62,68;United States;Northern America;"SAGE Publications Inc.";"1986-2021";"Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2)"
208;145137;"Critical Criminology";journal;"15729877, 12058629";0,783;Q1;30;59;122;4101;305;111;2,40;69,51;Netherlands;Western Europe;"Springer Netherlands";"1996-1997, 2000-2002, 2005-2021";"Law (Q1); Sociology and Political Science (Q1)"
209;16865;"Acta Sociologica";journal;"00016993, 15023869";0,780;Q1;56;35;80;1921;187;79;2,14;54,89;United Kingdom;Western Europe;"SAGE Publications Ltd";"1956-1959, 1962, 1964-2021";"Sociology and Political Science (Q1)"
210;13857;"Housing, Theory and Society";journal;"16512278, 14036096";0,779;Q1;45;49;105;3577;270;84;2,71;73,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2021";"Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)"
211;19900188083;"Island Studies Journal";journal;"17152593";0,779;Q1;23;22;88;1294;228;83;1,88;58,82;Canada;Northern America;"University of Prince Edward Island";"2010-2021";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
212;5700166179;"Politics and Gender";journal;"1743923X, 17439248";0,779;Q1;44;59;158;3426;395;156;2,57;58,07;United Kingdom;Western Europe;"Cambridge University Press";"2005-2021";"Gender Studies (Q1); Sociology and Political Science (Q1)"
213;20000195019;"International Journal of the Commons";journal;"18750281";0,777;Q1;30;27;119;1784;305;118;2,31;66,07;United States;Northern America;"International Association for the Study of the Commons";"2011-2021";"Sociology and Political Science (Q1)"
214;21100886530;"Area Development and Policy";journal;"23792957";0,775;Q1;15;35;74;1873;215;67;2,64;53,51;United Kingdom;Western Europe;"Routledge";"2016-2021";"Geography, Planning and Development (Q1); Nature and Landscape Conservation (Q1); Public Administration (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)"
215;4700152207;"International Communication Gazette";journal;"17480485, 17480493";0,774;Q1;39;41;113;2469;264;106;2,16;60,22;United Kingdom;Western Europe;"SAGE Publications Ltd";"1961, 1966, 1996-1999, 2003-2004, 2006-2021";"Communication (Q1); Sociology and Political Science (Q1)"
216;18777;"Violence Against Women";journal;"10778012, 15528448";0,769;Q1;102;230;306;12962;986;291;3,05;56,36;United States;Northern America;"SAGE Publications Inc.";"1995-2021";"Gender Studies (Q1); Law (Q1); Sociology and Political Science (Q1)"
217;19700168801;"Journal of Eurasian Studies";journal;"18793665";0,768;Q1;21;17;29;955;93;27;1,00;56,18;South Korea;Asiatic Region;"Hanyang University";"2010-2021";"Cultural Studies (Q1); History (Q1); Sociology and Political Science (Q1)"
218;5600152814;"Journal of Public Economic Theory";journal;"14679779, 10973923";0,763;Q1;33;63;189;2379;226;184;1,22;37,76;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1999-2021";"Sociology and Political Science (Q1); Economics and Econometrics (Q2); Finance (Q2)"
219;5700161890;"International Feminist Journal of Politics";journal;"14616742";0,756;Q1;48;68;152;3083;311;124;1,54;45,34;United Kingdom;Western Europe;"Routledge";"1999-2021";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
220;12072;"International Journal of Educational Development";journal;"07380593";0,755;Q1;60;153;328;7959;765;309;2,01;52,02;United Kingdom;Western Europe;"Elsevier BV";"1981-2021";"Development (Q1); Education (Q1); Sociology and Political Science (Q1)"
221;25833;"International Political Science Review";journal;"01925121, 1460373X";0,755;Q1;58;81;146;3685;329;139;2,12;45,49;United Kingdom;Western Europe;"SAGE Publications Ltd";"1980-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
222;145502;"Journal of Youth Studies";journal;"14699680, 13676261";0,755;Q1;60;152;248;8667;702;246;2,54;57,02;United Kingdom;Western Europe;"Routledge";"2003-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Life-span and Life-course Studies (Q2)"
223;5700166187;"Du Bois Review";journal;"1742058X";0,751;Q1;38;33;77;2498;129;75;0,98;75,70;United Kingdom;Western Europe;"Cambridge University Press";"2004-2021";"Anthropology (Q1); Cultural Studies (Q1); Sociology and Political Science (Q1)"
224;11600154613;"Environmental Hazards";journal;"14642867, 17477891, 18780059";0,750;Q1;53;50;83;2659;313;78;4,46;53,18;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983, 1999-2003, 2005, 2007, 2009-2021";"Development (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Environmental Science (miscellaneous) (Q2); Global and Planetary Change (Q2)"
225;23108;"Language and Speech";journal;"00238309, 17566053";0,750;Q1;56;68;107;4702;217;105;2,00;69,15;United States;Northern America;"SAGE Publications Inc.";"1958-2021";"Linguistics and Language (Q1); Sociology and Political Science (Q1); Speech and Hearing (Q1); Medicine (miscellaneous) (Q2)"
226;5800169479;"Representation";journal;"17494001, 00344893";0,746;Q1;25;57;101;3014;191;91;1,82;52,88;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1960-1986, 1988-2021";"Sociology and Political Science (Q1)"
227;18102;"Sociological Perspectives";journal;"07311214, 15338673";0,746;Q1;61;75;154;5812;332;148;1,87;77,49;United States;Northern America;"SAGE Publications Inc.";"1958-2021";"Sociology and Political Science (Q1)"
228;27067;"Human Nature";journal;"19364776, 10456767";0,741;Q1;72;33;70;3168;177;64;1,81;96,00;United States;Northern America;"Springer New York";"1990-2021";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
229;4100151709;"European Journal of Political Theory";journal;"17412730, 14748851";0,740;Q1;32;78;114;3242;137;110;1,09;41,56;United Kingdom;Western Europe;"SAGE Publications Ltd";"2002-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
230;21100887617;"Education Inquiry";journal;"20004508";0,739;Q1;19;47;75;2217;188;68;2,28;47,17;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2021";"Education (Q1); Sociology and Political Science (Q1); Public Administration (Q2)"
231;20499;"Canadian Public Policy/ Analyse de Politiques";journal;"03170861";0,736;Q1;36;32;115;1695;247;115;2,63;52,97;Canada;Northern America;"University of Toronto Press";"1978-1980, 1984, 1989-2021";"Sociology and Political Science (Q1); Public Administration (Q2)"
232;19786;"Utilities Policy";journal;"09571787";0,736;Q1;54;122;279;7195;902;274;3,35;58,98;United Kingdom;Western Europe;"Elsevier BV";"1990-1995, 1997-2001, 2003-2021";"Business and International Management (Q1); Development (Q1); Law (Q1); Sociology and Political Science (Q1); Management, Monitoring, Policy and Law (Q2)"
233;15619;"Journal of Contemporary Ethnography";journal;"08912416, 15525414";0,727;Q1;56;45;97;2523;204;96;1,67;56,07;United States;Northern America;"SAGE Publications Inc.";"1972-1982, 1984-2021";"Anthropology (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)"
234;17600155227;"Asian Business and Management";journal;"14724782, 14769328";0,725;Q1;24;52;77;4579;322;65;4,16;88,06;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2008-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1); Business and International Management (Q2); Strategy and Management (Q2)"
235;19400158810;"Child Indicators Research";journal;"18748988, 1874897X";0,725;Q1;35;122;317;7770;797;315;2,43;63,69;Netherlands;Western Europe;"Springer Netherlands";"2010-2021";"Health (social science) (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)"
236;3500148027;"Science as Culture";journal;"09505431";0,718;Q1;43;32;74;2005;157;67;2,07;62,66;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2021";"Cultural Studies (Q1); Health (social science) (Q1); History and Philosophy of Science (Q1); Sociology and Political Science (Q1); Biomedical Engineering (Q2); Biotechnology (Q2)"
237;300147001;"European Journal of Social Theory";journal;"13684310";0,709;Q1;62;49;93;3001;217;90;2,17;61,24;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2021";"Sociology and Political Science (Q1)"
238;21100830164;"Business and Human Rights Journal";journal;"20570198, 20570201";0,708;Q1;13;45;68;1562;103;68;1,47;34,71;United Kingdom;Western Europe;"Cambridge University Press";"2016-2021";"Industrial Relations (Q1); Law (Q1); Sociology and Political Science (Q1); Business and International Management (Q2)"
239;21100812569;"Journal of Social and Political Psychology";journal;"21953325";0,706;Q1;26;21;125;1188;248;118;1,84;56,57;Germany;Western Europe;"PsychOpen";"2013-2021";"Sociology and Political Science (Q1); Applied Psychology (Q2); Social Psychology (Q2)"
240;17389;"Rural Sociology";journal;"00360112, 15490831";0,702;Q1;70;46;97;3104;320;95;3,12;67,48;United States;Northern America;"Wiley-Blackwell";"1978-2021";"Sociology and Political Science (Q1)"
241;21071;"Journal of Sport and Social Issues";journal;"01937235, 15527638";0,699;Q1;60;36;78;2310;208;76;1,83;64,17;United States;Northern America;"SAGE Publications Inc.";"1977-2021";"Sociology and Political Science (Q1)"
242;23971;"Critical Asian Studies";journal;"14672715, 14726033";0,697;Q1;39;29;99;1574;251;87;2,65;54,28;United Kingdom;Western Europe;"Routledge";"1968-1993, 1995-2021";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
243;26619;"Symbolic Interaction";journal;"15338665, 01956086";0,697;Q1;50;37;80;2501;190;77;2,46;67,59;United States;Northern America;"Wiley-Blackwell";"1977-2021";"Communication (Q1); Nursing (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Education (Q2); Social Psychology (Q2)"
244;18798;"Higher Education Policy";journal;"09528733, 17403863";0,693;Q1;44;85;110;4677;279;108;2,48;55,02;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1992, 1995-2021";"Sociology and Political Science (Q1); Education (Q2)"
245;72639;"International Journal of Comparative Sociology";journal;"00207152";0,692;Q1;44;16;58;1127;133;54;2,21;70,44;United Kingdom;Western Europe;"SAGE Publications Ltd";"1960-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
246;21100975552;"Journal of Chinese Governance";journal;"23812354, 23812346";0,692;Q1;12;45;83;2676;217;76;2,76;59,47;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2016-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1); Public Administration (Q2)"
247;26459;"Latin American Politics and Society";journal;"15482456, 1531426X";0,688;Q1;45;26;75;1700;132;74;1,50;65,38;United States;Northern America;"Cambridge University Press";"2001-2021";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
248;19700187804;"Children's Geographies";journal;"14733277, 14733285";0,687;Q1;59;116;187;5873;487;175;2,57;50,63;United Kingdom;Western Europe;"Carfax Publishing Ltd.";"2003-2021";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)"
249;27733;"Latin American Research Review";journal;"00238791, 15424278";0,684;Q1;50;56;143;2756;180;136;1,19;49,21;United States;Northern America;"Latin American Studies Association";"1970, 1978-2021";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Development (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Geography, Planning and Development (Q1); History (Q1); Literature and Literary Theory (Q1); Multidisciplinary (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
250;110220;"Human Ecology";journal;"15729915, 03007839";0,683;Q1;77;68;208;4434;512;206;2,36;65,21;United States;Northern America;"Springer Science + Business Media";"1972-2021";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Sociology and Political Science (Q1); Ecology (Q2); Environmental Science (miscellaneous) (Q2); Health (social science) (Q2); Health, Toxicology and Mutagenesis (Q2); Public Health, Environmental and Occupational Health (Q2)"
251;5700164350;"Social Theory and Health";journal;"14778211, 1477822X";0,682;Q1;35;41;80;2457;218;76;2,20;59,93;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2003-2021";"Sociology and Political Science (Q1); Health (social science) (Q2)"
252;100147328;"Child and Family Social Work";journal;"13652206, 13567500";0,679;Q1;62;101;288;5193;652;285;1,97;51,42;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2002-2003, 2005-2021";"Social Work (Q1); Sociology and Political Science (Q1); Health (social science) (Q2)"
253;15807;"International Review of Administrative Sciences";journal;"00208523, 14617226";0,678;Q1;59;107;173;5531;461;167;2,53;51,69;United Kingdom;Western Europe;"SAGE Publications Ltd";"1957-2021";"Sociology and Political Science (Q1); Public Administration (Q2)"
254;16907;"Research on Social Work Practice";journal;"10497315, 15527581";0,674;Q1;66;84;256;4498;613;248;2,19;53,55;United States;Northern America;"SAGE Publications Inc.";"1991-2021";"Social Sciences (miscellaneous) (Q1); Social Work (Q1); Sociology and Political Science (Q1); Psychology (miscellaneous) (Q2)"
255;21100803392;"Cross Cultural and Strategic Management";journal;"20595794";0,667;Q1;43;32;104;3047;315;100;2,85;95,22;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2016-2021";"Cultural Studies (Q1); Sociology and Political Science (Q1); Business and International Management (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)"
256;5200152206;"Annual Review of Law and Social Science";book series;"15503585";0,663;Q1;49;26;82;2783;213;81;1,93;107,04;United States;Northern America;"Annual Reviews Inc.";"2006-2020";"Law (Q1); Sociology and Political Science (Q1)"
257;5600154403;"Australian Social Work";journal;"0312407X";0,658;Q1;34;85;161;2927;336;128;1,87;34,44;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971-2004, 2006-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Health (social science) (Q2); Social Work (Q2)"
258;21101021989;"European Journal of Politics and Gender";journal;"25151096, 25151088";0,655;Q1;11;29;75;1264;202;65;1,68;43,59;United Kingdom;Western Europe;"Bristol University Press";"2018-2021";"Gender Studies (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
259;21100835739;"Contemporary Italian Politics";journal;"23248823, 23248831";0,654;Q1;15;31;95;1235;171;78;1,62;39,84;United States;Northern America;"Routledge";"2013-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
260;21100887525;"New Educator";journal;"15499243";0,654;Q1;21;24;67;1397;84;58;1,39;58,21;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2021";"Sociology and Political Science (Q1); Education (Q2)"
261;5700163951;"International Journal of Cultural Policy";journal;"14772833, 10286632";0,652;Q1;49;84;179;5176;315;171;1,82;61,62;United Kingdom;Western Europe;"Routledge";"1997-2021";"Cultural Studies (Q1); Sociology and Political Science (Q1)"
262;15567;"Journal of Marital and Family Therapy";journal;"17520606, 0194472X";0,649;Q1;71;90;162;4427;420;151;2,56;49,19;United States;Northern America;"Wiley-Blackwell";"1975-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Clinical Psychology (Q2); Social Psychology (Q2)"
263;18103;"Sociological Quarterly";journal;"00380253, 15338525";0,649;Q1;66;53;119;3694;207;115;1,51;69,70;United States;Northern America;"Taylor and Francis Ltd.";"1960-2021";"Sociology and Political Science (Q1)"
264;145212;"Sociological Research Online";journal;"13607804";0,649;Q1;52;56;187;3025;388;185;1,37;54,02;United Kingdom;Western Europe;"Sociological Research Online";"1996-2001, 2003-2021";"Sociology and Political Science (Q1)"
265;17181;"Public Money and Management";journal;"14679302, 09540962";0,647;Q1;52;160;301;5943;685;254;2,45;37,14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2021";"Sociology and Political Science (Q1); Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2); Public Administration (Q2)"
266;21100200653;"Information Polity";journal;"18758754, 15701255";0,646;Q1;39;27;81;1408;221;70;1,63;52,15;Netherlands;Western Europe;"IOS Press BV";"2002-2021";"Communication (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Information Systems (Q2); Public Administration (Q2)"
267;26867;"Millennium: Journal of International Studies";journal;"03058298, 14779021";0,645;Q1;69;33;81;4;183;76;1,57;0,12;United Kingdom;Western Europe;"SAGE Publications Ltd";"1971-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
268;19700169607;"Annals of Public and Cooperative Economics";journal;"13704788, 14678292";0,644;Q1;39;61;93;3761;225;91;2,35;61,66;United Kingdom;Western Europe;"Wiley-Blackwell";"1925-1942, 1948-2021";"Sociology and Political Science (Q1); Economics and Econometrics (Q2)"
269;21100904307;"European Journal of International Security";journal;"20575637, 20575645";0,644;Q1;14;33;59;3577;134;57;1,79;108,39;United Kingdom;Western Europe;"Cambridge University Press";"2016-2021";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)"
270;80321;"Pacific Review";journal;"09512748, 14701332";0,643;Q1;51;63;143;5269;318;142;2,21;83,63;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2021";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
271;19700188160;"Journal of Comparative Policy Analysis: Research and Practice";journal;"13876988, 15725448";0,642;Q1;28;51;111;2414;250;105;2,33;47,33;United States;Northern America;"Routledge";"2010-2021";"Sociology and Political Science (Q1); Public Administration (Q2)"
272;29346;"South Atlantic Quarterly";journal;"00382876";0,638;Q1;42;69;175;1801;269;170;1,56;26,10;United States;Northern America;"Duke University Press";"1973, 1981, 1984, 1987, 1999, 2001-2021";"Cultural Studies (Q1); Literature and Literary Theory (Q1); Sociology and Political Science (Q1)"
273;100147330;"World Englishes";journal;"08832919";0,638;Q1;55;61;164;3927;254;159;1,36;64,38;United States;Northern America;"Wiley-Blackwell";"1981-2021";"Anthropology (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q1)"
274;13524;"Discourse and Society";journal;"14603624, 09579265";0,637;Q1;76;36;95;1931;192;93;1,88;53,64;United Kingdom;Western Europe;"SAGE Publications Ltd";"1990-2021";"Communication (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q1)"
275;25098;"Future of Children";journal;"15501558, 10548289";0,635;Q1;88;11;37;193;88;35;1,07;17,55;United States;Northern America;"Center for the Future of Children";"1994-2021";"Sociology and Political Science (Q1); Health (social science) (Q2); Public Health, Environmental and Occupational Health (Q2)"
276;18500158100;"Forum (Germany)";journal;"15408884";0,627;Q1;23;50;79;1959;85;73;0,49;39,18;Germany;Western Europe;"Walter de Gruyter GmbH";"2000, 2002, 2004-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
277;21100890927;"Russian Politics";journal;"24518913, 24518921";0,624;Q1;7;21;70;918;65;70;0,89;43,71;Netherlands;Western Europe;"Brill Academic Publishers";"2016-2021";"Cultural Studies (Q1); History (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
278;23542;"Problems of Post-Communism";journal;"1557783X, 10758216";0,623;Q1;31;87;117;6438;232;113;1,96;74,00;United States;Northern America;"M.E. Sharpe Inc.";"1996-2021";"Sociology and Political Science (Q1)"
279;145648;"Refuge";journal;"19207336, 02295113";0,623;Q1;25;21;60;811;107;55;1,47;38,62;Canada;Northern America;"York University Libraries";"2003-2021";"Cultural Studies (Q1); Demography (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
280;14586;"Social Service Review";journal;"15375404, 00377961";0,623;Q1;61;17;63;1526;121;60;1,79;89,76;United States;Northern America;"University of Chicago";"1973-1983, 1987, 1996-2021";"Sociology and Political Science (Q1); Social Work (Q2)"
281;21100403130;"Journal of Logical and Algebraic Methods in Programming";journal;"23522208, 23522216";0,615;Q1;17;52;173;2069;215;157;1,25;39,79;Netherlands;Western Europe;"Elsevier BV";"2014-2021";"Cultural Studies (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1); Computational Theory and Mathematics (Q2); Logic (Q2); Software (Q2); Theoretical Computer Science (Q2)"
282;16511;"Australian Journal of Public Administration";journal;"14678500, 03136647";0,614;Q1;45;79;146;4096;351;142;2,42;51,85;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1937-2021";"Sociology and Political Science (Q1); Public Administration (Q2)"
283;21100255082;"International Journal of Integrated Care";journal;"15684156";0,614;Q1;35;96;180;4076;452;165;1,96;42,46;Netherlands;Western Europe;"Ubiquity Press";"2007-2021";"Sociology and Political Science (Q1); Health Policy (Q2); Health (social science) (Q2)"
284;21759;"Journal of Consumer Affairs";journal;"00220078, 17456606";0,614;Q1;65;88;165;5962;424;158;2,53;67,75;United States;Northern America;"Wiley-Blackwell";"1967-2021";"Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)"
285;29502;"Race and Class";journal;"03063968";0,611;Q1;41;27;79;1359;154;61;1,98;50,33;United Kingdom;Western Europe;"SAGE Publications Ltd";"1959, 1962-2021";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
286;5600153659;"European Journal of Social Work";journal;"13691457";0,609;Q1;28;141;255;6254;494;238;1,89;44,35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Social Work (Q2)"
287;21100448080;"Interest Groups and Advocacy";journal;"20477414, 20477422";0,608;Q1;14;24;71;1235;118;70;1,30;51,46;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2014-2021";"Sociology and Political Science (Q1)"
288;21100899300;"Journal of Accounting in Emerging Economies";journal;"20421168, 20421176";0,607;Q1;13;43;79;3622;302;79;3,31;84,23;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2021";"Sociology and Political Science (Q1); Accounting (Q2); Development (Q2)"
289;21100842323;"Journal of Trust Research";journal;"2151559X, 21515581";0,605;Q1;19;5;36;292;106;30;2,36;58,40;United States;Northern America;"Routledge";"2011-2020";"Sociology and Political Science (Q1); Applied Psychology (Q2); Business, Management and Accounting (miscellaneous) (Q2); Social Psychology (Q2)"
290;23528;"Presidential Studies Quarterly";journal;"03604918";0,605;Q1;6;45;122;3389;137;120;1,17;75,31;United States;Northern America;"Center for the Study of the Presidency";"1983, 1985, 1988, 2018-2021";"History (Q1); Sociology and Political Science (Q1); Public Administration (Q2)"
291;21100886532;"Economic and Political Studies";journal;"24704024, 20954816";0,602;Q1;9;37;74;1618;220;68;3,69;43,73;United Kingdom;Western Europe;"Routledge";"2013-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2)"
292;12100155404;"Health Sociology Review";journal;"14461242, 18393551";0,602;Q1;33;25;72;1293;213;69;3,25;51,72;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2021";"Sociology and Political Science (Q1); Health (social science) (Q2)"
293;24848;"Critical Sociology";journal;"08969205";0,601;Q1;42;114;237;6108;454;226;1,74;53,58;United Kingdom;Western Europe;"SAGE Publications Ltd";"1971-1992, 1994-2021";"Sociology and Political Science (Q1)"
294;15532;"International Sociology";journal;"02685809, 14617242";0,600;Q1;60;55;88;2648;266;83;3,60;48,15;United Kingdom;Western Europe;"SAGE Publications Ltd";"1986-2021";"Sociology and Political Science (Q1)"
295;18718;"Time and Society";journal;"0961463X, 14617463";0,599;Q1;49;38;148;2124;260;143;1,83;55,89;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2021";"Sociology and Political Science (Q1)"
296;25136;"German Politics";journal;"09644008";0,598;Q1;19;50;115;2886;193;103;1,85;57,72;United Kingdom;Western Europe;"Frank Cass Publishers";"1992-1995, 2010-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
297;21100934094;"Nonprofit Policy Forum";journal;"21543348";0,598;Q1;11;28;76;1404;107;63;1,15;50,14;Germany;Western Europe;"de Gruyter";"2019-2021";"Sociology and Political Science (Q1); Economics and Econometrics (Q2); Public Administration (Q2)"
298;5800169165;"Conflict, Security and Development";journal;"14678802";0,596;Q1;21;36;96;2624;192;90;2,04;72,89;United Kingdom;Western Europe;"Routledge";"2010-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
299;29840;"International Social Work";journal;"00208728, 14617234";0,594;Q1;46;163;327;6533;608;309;2,05;40,08;United Kingdom;Western Europe;"SAGE Publications Ltd";"1959-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Social Work (Q2)"
300;14293;"Deviant Behavior";journal;"15210456, 01639625";0,593;Q1;59;167;350;11087;682;344;1,77;66,39;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1979-2021";"Law (Q1); Sociology and Political Science (Q1); Clinical Psychology (Q2); Social Psychology (Q2)"
